symbol;company_name;sector;industry;country
SNCAF;AtkinsRealis Group Inc.;Industrials;Engineering & Construction;Canada
SOBO;South Bow Corporation;Energy;Oil & Gas Midstream;Canada
STN;Stantec Inc;Industrials;Engineering & Construction;Canada
SU;Suncor Energy  Inc.;Energy;Oil & Gas Integrated;Canada
TCX;Tucows Inc.;Technology;Software - Infrastructure;Canada
TD;Toronto Dominion Bank (The);Financial Services;Banks - Diversified;Canada
TFII;TFI International Inc.;Industrials;Trucking;Canada
TLRY;Tilray Brands, Inc.;Healthcare;Drug Manufacturers - Specialty & Generic;Canada
TRI;Thomson Reuters Corp;Industrials;Specialty Business Services;Canada
TRP;TC Energy Corporation;Energy;Oil & Gas Midstream;Canada
VET;Vermilion Energy Inc.;Energy;Oil & Gas E&P;Canada
VRN;Veren Inc.;Energy;Oil & Gas E&P;Canada
WCN;Waste Connections, Inc.;Industrials;Waste Management;Canada
WFG;West Fraser Timber Co. Ltd;Basic Materials;Lumber & Wood Production;Canada
WPM;Wheaton Precious Metals Corp;Basic Materials;Gold;Canada
WSPOF;WSP Global Inc;Industrials;Engineering & Construction;Canada
XENE;Xenon Pharmaceuticals Inc.;Healthcare;Biotechnology;Canada
CRDO;Credo Technology Group Holding ;Technology;Semiconductors;Cayman Islands
CWCO;Consolidated Water Co. Ltd.;Utilities;Utilities - Regulated Water;Cayman Islands
FDP;Fresh Del Monte Produce, Inc.;Consumer Defensive;Farm Products;Cayman Islands
FN;Fabrinet;Technology;Electronic Components;Cayman Islands
GLRE;Greenlight Reinsurance, Ltd.;Financial Services;Insurance - Reinsurance;Cayman Islands
PAX;Patria Investments Limited;Financial Services;Asset Management;Cayman Islands
PENG;Penguin Solutions, Inc.;Technology;Information Technology Services;Cayman Islands
STNE;StoneCo Ltd.;Technology;Software - Infrastructure;Cayman Islands
VTEX;VTEX;Technology;Software - Application;Cayman Islands
XP;XP Inc.;Financial Services;Capital Markets;Cayman Islands
BSAC;Banco Santander - Chile;Financial Services;Banks - Regional;Chile
ENIC;Enel Chile S.A.;Utilities;Utilities - Regulated Electric;Chile
SQM;Sociedad Quimica y Minera S.A.;Basic Materials;Specialty Chemicals;Chile
ATAT;Atour Lifestyle Holdings Limite;Consumer Cyclical;Lodging;China
ATHM;Autohome Inc.;Communication Services;Internet Content & Information;China
BEKE;KE Holdings Inc;Real Estate;Real Estate Services;China
BZ;KANZHUN LIMITED - American Depo;Communication Services;Internet Content & Information;China
DQ;DAQO New Energy Corp.;Technology;Semiconductor Equipment & Materials;China
EH;EHang Holdings Limited;Industrials;Aerospace & Defense;China
FINV;FinVolution Group;Financial Services;Credit Services;China
GOTU;Gaotu Techedu Inc.;Consumer Defensive;Education & Training Services;China
HNGZY;HANGZHOU TIGERMED CONSULTING CO;Healthcare;Diagnostics & Research;China
HSAI;Hesai Group;Consumer Cyclical;Auto Parts;China
HTHT;H World Group Limited;Consumer Cyclical;Lodging;China
IQ;iQIYI, Inc.;Communication Services;Entertainment;China
JKS;JinkoSolar Holding Company Limi;Technology;Solar;China
LU;Lufax Holding Ltd;Financial Services;Credit Services;China
LX;LexinFintech Holdings Ltd.;Financial Services;Credit Services;China
MNSO;MINISO Group Holding Limited;Consumer Cyclical;Specialty Retail;China
MOMO;Hello Group Inc.;Communication Services;Internet Content & Information;China
NIO;NIO Inc.;Consumer Cyclical;Auto Manufacturers;China
NOAH;Noah Holdings Limited;Financial Services;Asset Management;China
QFIN;Qifu Technology, Inc;Financial Services;Credit Services;China
RERE;ATRenew Inc.;Consumer Cyclical;Internet Retail;China
RLX;RLX Technology Inc.;Consumer Defensive;Tobacco;China
TAL;TAL Education Group;Consumer Defensive;Education & Training Services;China
TIGR;UP Fintech Holding Limited;Financial Services;Capital Markets;China
TME;Tencent Music Entertainment Gro;Communication Services;Internet Content & Information;China
VIPS;Vipshop Holdings Limited;Consumer Cyclical;Internet Retail;China
VNET;VNET Group, Inc.;Technology;Information Technology Services;China
WB;Weibo Corporation;Communication Services;Internet Content & Information;China
YMM;Full Truck Alliance Co. Ltd.;Technology;Software - Application;China
YUMC;Yum China Holdings, Inc.;Consumer Cyclical;Restaurants;China
ZK;ZEEKR Intelligent Technology Ho;Consumer Cyclical;Auto Manufacturers;China
ZTO;ZTO Express (Cayman) Inc.;Industrials;Integrated Freight & Logistics;China
CIB;BanColombia S.A.;Financial Services;Banks - Regional;Colombia
TGLS;Tecnoglass Inc.;Basic Materials;Building Materials;Colombia
ESTA;Establishment Labs Holdings Inc;Healthcare;Medical Devices;Costa Rica
FRO;Frontline Plc;Energy;Oil & Gas Midstream;Cyprus
ASND;Ascendis Pharma A/S;Healthcare;Biotechnology;Denmark
CMGGF;COMMERCIAL INTL BANK(EGYPT)S.A.;Financial Services;Banks - Regional;Egypt
AS;Amer Sports, Inc.;Consumer Cyclical;Leisure;Finland
CSTM;Constellium SE;Basic Materials;Aluminum;France
BNTX;BioNTech SE;Healthcare;Biotechnology;Germany
CVAC;CureVac N.V.;Healthcare;Biotechnology;Germany
DTRUY;DAIMLER TRUCK HLDG AG;Industrials;Farm & Heavy Construction Machinery;Germany
KNRRY;Knorr-Bremse;Consumer Cyclical;Auto Parts;Germany
SMNEY;Siemens Energy AG;Industrials;Specialty Industrial Machinery;Germany
DAC;Danaos Corporation;Industrials;Marine Shipping;Greece
GSL;Global Ship Lease Inc New;Industrials;Marine Shipping;Greece
SBLK;Star Bulk Carriers Corp.;Industrials;Marine Shipping;Greece
TEN;Tsakos Energy Navigation Ltd;Energy;Oil & Gas Midstream;Greece
FUTU;Futu Holdings Limited;Financial Services;Capital Markets;Hong Kong
MLCO;Melco Resorts & Entertainment L;Consumer Cyclical;Resorts & Casinos;Hong Kong
SIMO;Silicon Motion Technology Corpo;Technology;Semiconductors;Hong Kong
IBN;ICICI Bank Limited;Financial Services;Banks - Regional;India
INFY;Infosys Limited;Technology;Information Technology Services;India
LTOUF;Larsen & Toubro Ltd.;Industrials;Engineering & Construction;India
MAHMF;Mahindra & Mahindra Ltd.;Consumer Cyclical;Auto Manufacturers;India
MMYT;MakeMyTrip Limited;Consumer Cyclical;Travel Services;India
RDY;Dr. Reddy's Laboratories Ltd;Healthcare;Drug Manufacturers - Specialty & Generic;India
SBKFF;STATE BANK OF INDIA GDR-EACH RE;Financial Services;Banks - Regional;India
WIT;Wipro Limited;Technology;Information Technology Services;India
WNS;WNS (Holdings) Limited;Technology;Information Technology Services;India
ACN;Accenture plc;Technology;Information Technology Services;Ireland
ADNT;Adient plc;Consumer Cyclical;Auto Parts;Ireland
AER;AerCap Holdings N.V.;Industrials;Rental & Leasing Services;Ireland
ALKS;Alkermes plc;Healthcare;Drug Manufacturers - Specialty & Generic;Ireland
ALLE;Allegion plc;Industrials;Security & Protection Services;Ireland
AON;Aon plc;Financial Services;Insurance Brokers;Ireland
AVDL;Avadel Pharmaceuticals plc;Healthcare;Drug Manufacturers - Specialty & Generic;Ireland
CMPR;Cimpress PLC;Industrials;Specialty Business Services;Ireland
CRH;CRH PLC;Basic Materials;Building Materials;Ireland
DOLE;Dole plc;Consumer Defensive;Farm Products;Ireland
ETN;Eaton Corporation, PLC;Industrials;Specialty Industrial Machinery;Ireland
ICLR;ICON plc;Healthcare;Diagnostics & Research;Ireland
JAZZ;Jazz Pharmaceuticals plc;Healthcare;Biotechnology;Ireland
JCI;Johnson Controls International ;Industrials;Building Products & Equipment;Ireland
MDT;Medtronic plc.;Healthcare;Medical Devices;Ireland
PDD;PDD Holdings Inc.;Consumer Cyclical;Internet Retail;Ireland
PRGO;Perrigo Company plc;Healthcare;Drug Manufacturers - Specialty & Generic;Ireland
PRTA;Prothena Corporation plc;Healthcare;Biotechnology;Ireland
RYAAY;Ryanair Holdings plc;Industrials;Airlines;Ireland
SW;Smurfit WestRock plc;Consumer Cyclical;Packaging & Containers;Ireland
TEL;TE Connectivity plc;Technology;Electronic Components;Ireland
TT;Trane Technologies plc;Industrials;Building Products & Equipment;Ireland
CAMT;Camtek Ltd.;Technology;Semiconductor Equipment & Materials;Israel
CHKP;Check Point Software Technologi;Technology;Software - Infrastructure;Israel
CLBT;Cellebrite DI Ltd.;Technology;Software - Infrastructure;Israel
CSTE;Caesarstone Ltd.;Industrials;Building Products & Equipment;Israel
CYBR;CyberArk Software Ltd.;Technology;Software - Infrastructure;Israel
FVRR;Fiverr International Ltd.;Communication Services;Internet Content & Information;Israel
GLBE;Global-E Online Ltd.;Consumer Cyclical;Internet Retail;Israel
INMD;InMode Ltd.;Healthcare;Medical Devices;Israel
ITRN;Ituran Location and Control Ltd;Technology;Scientific & Technical Instruments;Israel
KRNT;Kornit Digital Ltd.;Industrials;Specialty Industrial Machinery;Israel
MBLY;Mobileye Global Inc.;Consumer Cyclical;Auto Parts;Israel
MDWD;MediWound Ltd.;Healthcare;Biotechnology;Israel
MGIC;Magic Software Enterprises Ltd.;Technology;Information Technology Services;Israel
MNDY;monday.com Ltd.;Technology;Software - Application;Israel
NNDM;Nano Dimension Ltd.;Technology;Computer Hardware;Israel
NNOX;NANO-X IMAGING LTD;Healthcare;Medical Devices;Israel
NVMI;Nova Ltd.;Technology;Semiconductor Equipment & Materials;Israel
ODD;ODDITY Tech Ltd.;Technology;Software - Infrastructure;Israel
PLTK;Playtika Holding Corp.;Communication Services;Electronic Gaming & Multimedia;Israel
RDWR;Radware Ltd.;Technology;Software - Infrastructure;Israel
SEDG;SolarEdge Technologies, Inc.;Technology;Solar;Israel
SMWB;Similarweb Ltd.;Technology;Software - Application;Israel
SPNS;Sapiens International Corporati;Technology;Software - Application;Israel
TEVA;Teva Pharmaceutical Industries ;Healthcare;Drug Manufacturers - Specialty & Generic;Israel
WIX;Wix.com Ltd.;Technology;Software - Infrastructure;Israel
ZIM;ZIM Integrated Shipping Service;Industrials;Marine Shipping;Israel
RACE;Ferrari N.V.;Consumer Cyclical;Auto Manufacturers;Italy
CMCL;Caledonia Mining Corporation Pl;Basic Materials;Gold;Jersey
GAMB;Gambling.com Group Limited;Consumer Cyclical;Gambling;Jersey
MTAL;MAC Copper Limited;Basic Materials;Copper;Jersey
FRHC;Freedom Holding Corp.;Financial Services;Financial Conglomerates;Kazakhstan
ALVO;Alvotech;Healthcare;Drug Manufacturers - Specialty & Generic;Luxembourg
AMBP;Ardagh Metal Packaging S.A.;Consumer Cyclical;Packaging & Containers;Luxembourg
GLOB;Globant S.A.;Technology;Information Technology Services;Luxembourg
MT;Arcelor Mittal NY Registry Shar;Basic Materials;Steel;Luxembourg
OEC;Orion S.A.;Basic Materials;Specialty Chemicals;Luxembourg
SPOT;Spotify Technology S.A.;Communication Services;Internet Content & Information;Luxembourg
TIGO;Millicom International Cellular;Communication Services;Telecom Services;Luxembourg
AMX;America Movil, S.A.B. de C.V.;Communication Services;Telecom Services;Mexico
BWMX;Betterware de Mexico, S.A.P.I. ;Consumer Cyclical;Specialty Retail;Mexico
CX;Cemex, S.A.B. de C.V. Sponsored;Basic Materials;Building Materials;Mexico
VIST;Vista Energy S.A.B. de C.V.;Energy;Oil & Gas E&P;Mexico
CMRE;Costamare Inc.;Industrials;Marine Shipping;Monaco
SB;Safe Bulkers, Inc;Industrials;Marine Shipping;Monaco
STNG;Scorpio Tankers Inc.;Energy;Oil & Gas Midstream;Monaco
ASML;ASML Holding N.V. - New York Re;Technology;Semiconductor Equipment & Materials;Netherlands, Kingdom of the
ESTC;Elastic N.V.;Technology;Software - Application;Netherlands, Kingdom of the
MRUS;Merus N.V.;Healthcare;Biotechnology;Netherlands, Kingdom of the
NXPI;NXP Semiconductors N.V.;Technology;Semiconductors;Netherlands, Kingdom of the
PHVS;Pharvaris N.V.;Healthcare;Biotechnology;Netherlands, Kingdom of the
PLYA;Playa Hotels & Resorts N.V.;Consumer Cyclical;Resorts & Casinos;Netherlands, Kingdom of the
QGEN;Qiagen N.V.;Healthcare;Diagnostics & Research;Netherlands, Kingdom of the
QURE;uniQure N.V.;Healthcare;Biotechnology;Netherlands, Kingdom of the
STM;STMicroelectronics N.V.;Technology;Semiconductors;Netherlands, Kingdom of the
SBSNY;Schibsted ASA;Communication Services;Publishing;Norway
BLX;Banco Latinoamericano de Comerc;Financial Services;Banks - Regional;Panama
CPA;Copa Holdings, S.A.;Industrials;Airlines;Panama
BAP;Credicorp Ltd.;Financial Services;Banks - Regional;Peru
BVN;Buenaventura Mining Company Inc;Basic Materials;Other Precious Metals & Mining;Peru
BTDR;Bitdeer Technologies Group;Technology;Software - Application;Singapore
GRAB;Grab Holdings Limited;Technology;Software - Application;Singapore
JOYY;JOYY Inc.;Communication Services;Internet Content & Information;Singapore
KEN;Kenon Holdings Ltd.;Utilities;Utilities - Independent Power Producers;Singapore
SE;Sea Limited;Consumer Cyclical;Internet Retail;Singapore
STX;Seagate Technology Holdings PLC;Technology;Computer Hardware;Singapore
WVE;Wave Life Sciences Ltd.;Healthcare;Biotechnology;Singapore
YY;JOYY Inc.;Communication Services;Internet Content & Information;Singapore
KB;KB Financial Group Inc;Financial Services;Banks - Regional;Korea, Republic of
KEP;Korea Electric Power Corporatio;Utilities;Utilities - Regulated Electric;Korea, Republic of
LPL;LG Display Co, Ltd AMERICAN DEP;Technology;Consumer Electronics;Korea, Republic of
PKX;POSCO Holdings Inc.;Basic Materials;Steel;Korea, Republic of
GRFS;Grifols, S.A.;Healthcare;Drug Manufacturers - General;Spain
TEF;Telefonica SA;Communication Services;Telecom Services;Spain
ALV;Autoliv, Inc.;Consumer Cyclical;Auto Parts;Sweden
HXGBY;Hexagon AB;Technology;Scientific & Technical Instruments;Sweden
PSNY;Polestar Automotive Holding UK ;Consumer Cyclical;Auto Manufacturers;Sweden
ADCT;ADC Therapeutics SA;Healthcare;Biotechnology;Switzerland
ALC;Alcon Inc.;Healthcare;Medical Instruments & Supplies;Switzerland
AMCR;Amcor plc;Consumer Cyclical;Packaging & Containers;Switzerland
APTV;Aptiv PLC;Consumer Cyclical;Auto Parts;Switzerland
CB;Chubb Limited;Financial Services;Insurance - Property & Casualty;Switzerland
CRSP;CRISPR Therapeutics AG;Healthcare;Biotechnology;Switzerland
GES;Guess?, Inc.;Consumer Cyclical;Apparel Retail;Switzerland
GRMN;Garmin Ltd.;Technology;Scientific & Technical Instruments;Switzerland
GTX;Garrett Motion Inc.;Consumer Cyclical;Auto Parts;Switzerland
MLTX;MoonLake Immunotherapeutics;Healthcare;Biotechnology;Switzerland
NVCR;NovoCure Limited;Healthcare;Medical Devices;Switzerland
ONON;On Holding AG;Consumer Cyclical;Footwear & Accessories;Switzerland
RIG;Transocean Ltd (Switzerland);Energy;Oil & Gas Drilling;Switzerland
SDZNY;Sandoz Group AG;Healthcare;Drug Manufacturers - Specialty & Generic;Switzerland
ASX;ASE Technology Holding Co., Ltd;Technology;Semiconductors;Taiwan
AUOTY;AUO CORPORATION;Technology;Electronic Components;Taiwan
CHT;Chunghwa Telecom Co., Ltd.;Communication Services;Telecom Services;Taiwan
HIMX;Himax Technologies, Inc.;Technology;Semiconductors;Taiwan
TSM;Taiwan Semiconductor Manufactur;Technology;Semiconductors;Taiwan
UMC;United Microelectronics Corpora;Technology;Semiconductors;Taiwan
BGKKF;BANGKOK BANK PUBLIC CO NON VTG ;Financial Services;Banks - Regional;Thailand
HEPS;D-Market Electronic Services & ;Consumer Cyclical;Internet Retail;Turkey
ARM;Arm Holdings plc;Technology;Semiconductors;United Kingdom of Great Britain and Northern Ireland
AZN;Astrazeneca PLC;Healthcare;Drug Manufacturers - General;United Kingdom of Great Britain and Northern Ireland
BIRK;Birkenstock Holding plc;Consumer Cyclical;Footwear & Accessories;United Kingdom of Great Britain and Northern Ireland
CCEP;Coca-Cola Europacific Partners ;Consumer Defensive;Beverages - Non-Alcoholic;United Kingdom of Great Britain and Northern Ireland
CLVT;Clarivate Plc;Technology;Information Technology Services;United Kingdom of Great Britain and Northern Ireland
CNH;CNH Industrial N.V.;Industrials;Farm & Heavy Construction Machinery;United Kingdom of Great Britain and Northern Ireland
CPRI;Capri Holdings Limited;Consumer Cyclical;Luxury Goods;United Kingdom of Great Britain and Northern Ireland
DAVA;Endava plc;Technology;Software - Infrastructure;United Kingdom of Great Britain and Northern Ireland
IGT;International Game Technology;Consumer Cyclical;Gambling;United Kingdom of Great Britain and Northern Ireland
IMCR;Immunocore Holdings plc;Healthcare;Biotechnology;United Kingdom of Great Britain and Northern Ireland
JHG;Janus Henderson Group plc;Financial Services;Asset Management;United Kingdom of Great Britain and Northern Ireland
KNSA;Kiniksa Pharmaceuticals, Ltd.;Healthcare;Drug Manufacturers - Specialty & Generic;United Kingdom of Great Britain and Northern Ireland
LIN;Linde plc;Basic Materials;Specialty Chemicals;United Kingdom of Great Britain and Northern Ireland
LIVN;LivaNova PLC;Healthcare;Medical Devices;United Kingdom of Great Britain and Northern Ireland
NOMD;Nomad Foods Limited;Consumer Defensive;Packaged Foods;United Kingdom of Great Britain and Northern Ireland
NVT;nVent Electric plc;Industrials;Electrical Equipment & Parts;United Kingdom of Great Britain and Northern Ireland
PNR;Pentair plc.;Industrials;Specialty Industrial Machinery;United Kingdom of Great Britain and Northern Ireland
PSFE;Paysafe Limited;Technology;Software - Infrastructure;United Kingdom of Great Britain and Northern Ireland
RNW;ReNew Energy Global plc;Utilities;Utilities - Renewable;United Kingdom of Great Britain and Northern Ireland
ROIV;Roivant Sciences Ltd.;Healthcare;Biotechnology;United Kingdom of Great Britain and Northern Ireland
WIZEY;WISE PLC;Technology;Information Technology Services;United Kingdom of Great Britain and Northern Ireland
WTW;Willis Towers Watson Public Lim;Financial Services;Insurance Brokers;United Kingdom of Great Britain and Northern Ireland
GOOGL;Alphabet Inc.;Communication Services;Internet Content & Information;United States of America
AAL;American Airlines Group, Inc.;Industrials;Airlines;United States of America
AAMI;Acadian Asset Management Inc.;Financial Services;Asset Management;United States of America
AAOI;Applied Optoelectronics, Inc.;Technology;Communication Equipment;United States of America
AAON;AAON, Inc.;Industrials;Building Products & Equipment;United States of America
AAP;Advance Auto Parts Inc.;Consumer Cyclical;Auto Parts;United States of America
AAPL;Apple Inc.;Technology;Consumer Electronics;United States of America
AAT;American Assets Trust, Inc.;Real Estate;REIT - Diversified;United States of America
ABBV;AbbVie Inc.;Healthcare;Drug Manufacturers - General;United States of America
ABCB;Ameris Bancorp;Financial Services;Banks - Regional;United States of America
ABG;Asbury Automotive Group Inc;Consumer Cyclical;Auto & Truck Dealerships;United States of America
ABL;Abacus Global Management, Inc.;Financial Services;Insurance - Life;United States of America
ABM;ABM Industries Incorporated;Industrials;Specialty Business Services;United States of America
ABNB;Airbnb, Inc.;Consumer Cyclical;Travel Services;United States of America
ABR;Arbor Realty Trust;Real Estate;REIT - Mortgage;United States of America
ABSI;Absci Corporation;Healthcare;Biotechnology;United States of America
ABT;Abbott Laboratories;Healthcare;Medical Devices;United States of America
ABUS;Arbutus Biopharma Corporation;Healthcare;Biotechnology;United States of America
ACA;Arcosa, Inc.;Industrials;Engineering & Construction;United States of America
ACAD;ACADIA Pharmaceuticals Inc.;Healthcare;Biotechnology;United States of America
ACCD;Accolade, Inc.;Healthcare;Health Information Services;United States of America
ACCO;Acco Brands Corporation;Industrials;Business Equipment & Supplies;United States of America
ACDC;ProFrac Holding Corp.;Energy;Oil & Gas Equipment & Services;United States of America
ACEL;Accel Entertainment, Inc.;Consumer Cyclical;Gambling;United States of America
ACHC;Acadia Healthcare Company, Inc.;Healthcare;Medical Care Facilities;United States of America
ACHR;Archer Aviation Inc.;Industrials;Aerospace & Defense;United States of America
ACI;Albertsons Companies, Inc.;Consumer Defensive;Grocery Stores;United States of America
